,TwittID,TextData,TweetCreatedAt,RetweetCount,TweetFavouriteCount,TweetSource,UserID,UserScreenName,UserName,UserCreatedAt,UserDescription,UserDescriptionLength,UserFollowersCount,UserFriendsCount,UserLocation,HttpCount,HashtagCount,MentionCount,TweetCount
0,1120412845701783552,RT @MKilldonger: Vous pouvez être sur qu’il ne va jamais la trompé car on ne trompe pas son coiffeur mdrrr https://t.co/L0Y2bZ2dg9,2019-04-22 19:43:33,185,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,1,0,1,22092
1,1120369535243247617,"RT @dashydusa: le poisson là, les tik tok des indiens et compagnie je veux plus les voir dans ma TL svp",2019-04-22 16:51:27,22,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
2,1120364609305743361,RT @Rubbi_2bi: C'est pour ce genre de personnes qu'on devait se mobiliser et faire des dons en 24h. https://t.co/FV4dtzigW7,2019-04-22 16:31:52,6820,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,1,0,1,22092
3,1120295453491380224,RT @_Algrienne: Dites vous ya des mecs ils habitent dans des zones pavillonnaires ils manquent de rien mais ils vont que trainer dans les q…,2019-04-22 11:57:04,3051,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
4,1120255869738942465,RT @TheBatAli: Une pensée aux anciens tutos ou la personne n’avait pas de micro et devait ecrire sur le bloc notes pour nous expliquer 🙏🙏 h…,2019-04-22 09:19:47,9,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
5,1120077690881630208,"RT @_Las92i: Allez a la bibliothèque pour allez ""réviser"" c’est top10 des plus grande zumba que l’humains a inventer ca vous allez pas mma…",2019-04-21 21:31:46,33,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
6,1120074393667944448,"RT @JeanHugon3: L'arrêté qui officialise l'augmentation des frais d'inscription pour les étudiants étrangers a été publié aujourd'hui.

À l…",2019-04-21 21:18:40,4702,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
7,1120063839272361985,@Tikaiz93 vazi j'en ai marre de ce pays la,2019-04-21 20:36:43,0,3,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
8,1120063362916933633,"@Tikaiz93 je connais merci , mais la c'est le moment pour les artistes faut profiter de la chaleur",2019-04-21 20:34:50,0,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
9,1120062498672082944,C'est le moment de sortir vos bangers de l'été,2019-04-21 20:31:24,0,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,0,22092
10,1120042139952582656,@wal93i Au moins on est pas les seuls à te faire des rappels,2019-04-21 19:10:30,0,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
11,1120036631573094400,RT @IamDoxel: « ... il faut dire merci à ceux qui te rejettent; parce que s’ils ne t’avaient pas rejeté tu les aurais gardé dans ta vie. et…,2019-04-21 18:48:36,54,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
12,1120025316523749377,@dodolnd 😂😂,2019-04-21 18:03:39,0,0,Twitter for Android,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
13,1120025049120088065,RT @un_antillais91: Le monde a oublié que Pâques ce n'est pas les œufs en chocolat mais la résurrection du Christ.,2019-04-21 18:02:35,680,0,Twitter for Android,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
14,1120024946607046659,@dodolnd Pas besoin,2019-04-21 18:02:10,0,0,Twitter for Android,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
15,1120024366253858825,@dodolnd On verra,2019-04-21 17:59:52,0,0,Twitter for Android,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
16,1120023555926822912,@dodolnd T es banni comme Sasuke,2019-04-21 17:56:39,0,0,Twitter for Android,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
17,1119965741464334336,@dodolnd renégat https://t.co/Ykalf6CjId,2019-04-21 14:06:55,1,1,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,1,0,1,22092
18,1119961652257009664,@dodolnd hmm je vais voir ca,2019-04-21 13:50:40,0,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
19,1119958384302800896,@dodolnd Ca a géchan le groupe chant,2019-04-21 13:37:41,0,0,Twitter for Android,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
20,1119953885941116933,@MendesMelaniie Z écouteuuh,2019-04-21 13:19:48,0,0,Twitter for Android,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
21,1119935082343620608,"RT @ajplusfrancais: “Elle m’a traitée comme un animal.” Mary, 18 ans, a été victime de traite humaine en France. Elle s’est confiée à AJ+.…",2019-04-21 12:05:05,1580,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
22,1119907036089737216,"RT @AwaCely: Qui se rappelle “ MET TA GARDE GAUCHE, DROITE GAUCHE DROITE, SAMU LES POMPIERS”",2019-04-21 10:13:38,329,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
23,1119902449832165376,@MendesMelaniie Meme pas c'est juste que je me faisais clasher 😭😭,2019-04-21 09:55:25,0,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
24,1119897521265020928,"@MendesMelaniie c'était perdu dans d""autres notif bakam",2019-04-21 09:35:50,0,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
25,1119896511226290176,@MendesMelaniie J'avais pas vue au début,2019-04-21 09:31:49,0,0,Twitter Web Client,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
26,1119884886905708547,@MendesMelaniie C est juste un moyen de revenir te parler mais il sait pas comment faire,2019-04-21 08:45:38,0,0,Twitter for Android,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,1,22092
27,1119711513965678593,@boubou896 @Zak_Ouni @MC_Jean_Deyehe Mdrrrrr je me souviens juste que tu copiait sur moi et t avais une meilleur note...,2019-04-20 21:16:42,0,2,Twitter for Android,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,3,22092
28,1119710892885794816,@boubou896 @Zak_Ouni @MC_Jean_Deyehe Bah maintenant tu sais,2019-04-20 21:14:14,0,1,Twitter for Android,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,3,22092
29,1119710554896109568,@boubou896 @Zak_Ouni @MC_Jean_Deyehe Mdrrrrr on t a dimanche on est pas la tu veux encore forcer,2019-04-20 21:12:54,0,0,Twitter for Android,741101310,Dady330,Dy,2012-08-06 17:51:34,🇨🇻🇵🇹🎓,5,266,110,...,0,0,3,22092
